function.	skin_1
K02598	0
K02600	102.06
K02601	112.81
K02609	1.43
K02610	1.43
K02611	1.43
K02612	1.43
K02613	2.17
K02614	3.71
K02615	0
K02616	0.5
K02617	0.01
K02618	0.01
K02619	52.43
K02621	55.84
K02622	55.84
K02623	0.75
K02624	4
K02625	0
K02626	0.25
K02634	0.67
K02635	0.67
K02636	1.34
K02637	0.67
K02638	0.67
K02639	2.68
K02640	0.67
K02641	0.67
K02642	0.67
K02643	0.67
K02647	11.8
K02650	16.34
K02651	4.35
K02652	18.68
K02653	18.26
K02654	47.48
K02655	4.45
K02656	2.68
K02657	2.17
K02658	2.84
K02659	2.17
K02660	2.84
K02661	0
K02662	2.3
K02663	3.5
K02664	2.5
K02665	1.83
K02666	4
K02667	1.33
K02668	1.33
K02669	5.09
K02670	3.41
K02671	2.08
K02672	3.33
K02673	2.33
K02674	2.33
K02676	1.83
K02679	0.68
K02680	0.68
K02681	0.85
K02682	0.85
K02686	2.68
K02687	78.17
K02688	1.5
K02689	0.67
K02690	0.67
K02691	0.67
K02692	0.67
K02693	0.67
K02694	0.67
K02696	0.67
K02697	0.67
K02698	1.34
K02699	0.67
K02700	0.67
K02702	0.67
K02703	3.35
K02704	0.67
K02705	0.67
K02706	1.34
K02707	0.67
K02708	0.67
K02709	0.67
K02710	0.67
K02711	0.67
K02712	0.67
K02713	0.67
K02714	0.67
K02715	0.67
K02716	0.67
K02717	0.67
K02718	0.67
K02719	0.67
K02720	1.34
K02722	0.67
K02723	0.67
K02724	0.67
K02742	0.85
K02744	4.44
K02745	2.19
K02746	2.02
K02747	2.02
K02750	52.06
K02753	0
K02755	40.52
K02756	0
K02757	43.03
K02759	43.57
K02760	11.82
K02761	16.18
K02763	0
K02765	88.6900000000001
K02768	1.67
K02769	0
K02770	113.55
K02771	0.25
K02773	44.8
K02774	44.63
K02775	44.33
K02777	49.31
K02778	0
K02779	6.17
K02781	1.09
K02783	1.43
K02784	15.77
K02786	50.3
K02788	51.5
K02791	47.19
K02793	43.35
K02794	50.96
K02795	18.04
K02796	16.29
K02798	42.13
K02799	0
K02800	43.39
K02802	0
K02803	0.17
K02804	49.39
K02805	0.7
K02806	8.68
K02810	99.1800000000001
K02812	0
K02813	0
K02814	0
K02815	0
K02819	50.15
